Model,Accuracy,Precision,Recall,F1 Score
LightGBM,0.7821561338289963,0.585956416464891,0.6648351648351648,0.6229086229086229
XGboost,0.779182156133829,0.58656330749354,0.6236263736263736,0.6045272969374168
CatBoost,0.7665427509293681,0.5698324022346368,0.5604395604395604,0.5650969529085873
